name,tag1,synonym,tag2
Põllu tänav,loc,,
Roosi tänav,loc,,
Saare tänav,loc,,
Sireli tänav,loc,,
Sinilille tänav,loc,,
Tulbi tänav,loc,,
Tallinna maantee,loc,,
Tamme tänav,loc,,
Varju tänav,loc,,
Õie tänav,loc,,
Tulbi tänav,loc,,
Turu tänav,loc,,
Astri tänav,loc,,
Vahtra tänav,loc,,
Vana-Postijaama tänav,loc,,
Võidu tänav,loc,,
Ülase tänav,loc,,
Jänese tänav,loc,,
Aleksandri tänav,loc,,
Tammetõru tänav,loc,,
Betooni tänav,loc,,
Nooruse tänav,loc,,
Alevi tänav,loc,,
Anna Haava tänav,loc,,
Jaamamõisa tänav,loc,,
Väike-Tähe tänav,loc,,
Loode tänav,loc,,
Kasteheina tänav,loc,,
Kesakanni tänav,loc,,
Kiigemäe tänav,loc,,
Kodukolde tänav,loc,,
Koidutähe tänav,loc,,
Kraavikalda tänav,loc,,
Lepalinnu tänav,loc,,
Luigelahe tänav,loc,,
Lumimarja tänav,loc,,
Lõkketule tänav,loc,,
Metshaldja tänav,loc,,
Metshirve tänav,loc,,
Männimetsa tee,loc,,
Näsiniine tänav,loc,,
Nõmmeliiva tänav,loc,,
Palusambla tänav,loc,,
Põhjatamme puiestee,loc,,
Raeremmelga tänav,loc,,
Ranna puiestee,loc,,
Rannakajaka tänav,loc,,
Rukkilille tänav,loc,,
Salutähe tänav,loc,,
Sinilille tänav,loc,,
Supelranna tänav,loc,,
Sõnajala tänav,loc,,
Talutare tänav,loc,,
Aiaääre tänav,loc,,
Arukase tänav,loc,,
Elulõnga tänav,loc,,
Hipodroomi tänav,loc,,
Õllemeistri tänav,loc,,
Kuuse tänav,loc,,
Kingu tänav,loc,,
Staadioni tänav,loc,,
Ringtee tänav,loc,,
Vaksali tänav,loc,,
Toominga tänav,loc,,
Maisi tänav,loc,,
Puraviku tänav,loc,,
Purde tänav,loc,,
Puu tänav,loc,,
Raie tänav,loc,,
Riisika tänav,loc,,
Roopa tänav,loc,,
Saarepuu tänav,loc,,
Sakala tänav,loc,,
Sinilille tänav,loc,,
Soone põik,loc,,
